ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1565439149,2025-06-14T00:50:03.651000,2025-06-14T00:53:19.897000,buy,0.01,0.01,BTCUSD,106079.31,106185.2,106185.2,,-0.16,0,1.06,,,sl
1565426307,2025-06-13T23:41:04.798000,2025-06-13T23:50:01.474000,buy,0.01,0.01,BTCUSD,106017.79,106140.83,106140.83,,-0.16,0,1.23,,,sl
1565425809,2025-06-13T23:36:18.988000,2025-06-13T23:39:25.697000,buy,0.01,0.01,BTCUSD,106032.01,105996.93000000001,105973.27,,-0.16,0,-0.35,,,user
1565424666,2025-06-13T23:18:50.264000,2025-06-13T23:22:29.664000,buy,0.01,0.01,BTCUSD,105935.83,105940.79,105940.79,,-0.16,0,0.05,,,sl
1565420300,2025-06-13T22:22:08.264000,2025-06-13T22:23:45.588000,buy,0.01,0.01,BTCUSD,105770.51,105769.86,105771.13,,-0.16,0,-0.01,,,sl
1565418388,2025-06-13T21:55:02.095000,2025-06-13T21:56:54.232000,buy,0.01,0.01,BTCUSD,105665.55,105681.74,105681.74,,-0.16,0,0.16,,,sl
1565417441,2025-06-13T21:46:14.200000,2025-06-13T21:49:29.440000,buy,0.01,0.01,BTCUSD,105730.46,105772.15,105772.15,,-0.16,0,0.42,,,sl
1565416668,2025-06-13T21:36:59.990000,2025-06-13T21:41:16.090000,buy,0.01,0.01,BTCUSD,105531.36,105657.23,105657.23,,-0.16,0,1.26,,,sl
1565414832,2025-06-13T21:23:59.040000,2025-06-13T21:33:23.298000,buy,0.01,0.01,BTCUSD,105498.55,105605.03,105605.03,,-0.16,0,1.06,,,sl
1565413899,2025-06-13T21:13:50.160000,2025-06-13T21:14:31.699000,buy,0.01,0.01,BTCUSD,105476.5,105458.47,105433.81,,-0.16,0,-0.19,,,user
1565410784,2025-06-13T20:55:01.444000,2025-06-13T21:01:44.782000,buy,0.01,0.01,BTCUSD,105398.98,105426.97,105426.97,,-0.16,0,0.28,,,sl
1565405598,2025-06-13T20:40:01.592000,2025-06-13T20:45:55.560000,buy,0.01,0.01,BTCUSD,105335.31,105410.09,105410.09,,-0.16,0,0.75,,,sl
1565402748,2025-06-13T20:29:06.802000,2025-06-13T20:30:48.102000,buy,0.01,0.01,BTCUSD,105306.82,105261.46,105261.46,,-0.16,0,-0.46,,,sl
1565398645,2025-06-13T20:15:02.640000,2025-06-13T20:17:51.958000,buy,0.01,0.01,BTCUSD,105323.09,105333.47,105333.47,,-0.16,0,0.1,,,sl
1564259730,2025-06-13T09:23:15.595000,2025-06-13T09:26:46.872000,sell,0.01,0.01,BTCUSD,104483.25,104532.99,104532.99,,-0.16,0,-0.5,,,sl
1560956444,2025-06-11T22:00:58.396000,2025-06-11T22:01:31.834000,sell,0.01,0.01,BTCUSD,108429.9,108518.53,108518.53,,-0.16,0,-0.89,,,sl
1560953306,2025-06-11T21:36:03.318000,2025-06-11T21:38:46.328000,sell,0.01,0.01,BTCUSD,108601.07,108584.32,108584.32,,-0.16,0,0.17,,,sl
1560951143,2025-06-11T21:16:19.082000,2025-06-11T21:34:34.670000,sell,0.01,0.01,BTCUSD,109090.09,108676.96,108676.96,,-0.16,0,4.13,,,sl
1560952897,2025-06-11T21:33:01.342000,2025-06-11T21:34:34.618000,sell,0.01,0.01,BTCUSD,108589.47,108675.6,108675.6,,-0.16,0,-0.87,,,sl
